Test: readSerial: 
 -> 30 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 120 
 -> 30 
 -> 120 
 -> 254 
 -> 248 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 30 
 -> 248 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 120 
 -> 30 
 -> 120 
 -> 254 
 -> 248 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 30 
 -> 248 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 128 
 -> 120 
 -> 30 
 -> 120 
 -> 0 
 -> 248 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 248 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 120 
 -> 254 
 -> 248 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 248 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 30 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 248 
 -> 248 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 120 
 -> 30 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 254 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 120 
 -> 30 
 -> 120 
 -> 30 
 -> 248 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 224 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 30 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 30 
 -> 248 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 120 
 -> 30 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 248 
 -> 128 
 -> 120 
 -> 224 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 30 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
 -> 30 
 -> 120 
 -> 254 
 -> 248 
 -> 128 
 -> 0 
 -> 128 
 -> 120 
 -> 254 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 0 
 -> 128 
 -> 128 
 -> 248 
 -> 0 
 -> 120 
 -> 0 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 254 
 -> 128 
 -> 120 
 -> 30 
 -> 248 
 -> 120 
 -> 30 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 248 
 -> 128 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 120 
 -> 0 
 -> 128 
 -> 120 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 0 
 -> 248 
 -> 128 
 -> 0 
 -> 128 
 -> 0 
 -> 120 
 -> 224 
 -> 128 
 -> 128 
 -> 128 
 -> 120 
